iter	RMSE
0	0.7099554646
1	0.7052804085
2	0.7014260426
3	0.6977838228
4	0.6938444831
5	0.6909127515
6	0.6877608648
7	0.6849276558
8	0.6821703132
9	0.6796394069
10	0.6773454903
11	0.6748686078
12	0.6728755948
13	0.670936211
14	0.6689605248
15	0.6671509588
16	0.665277131
17	0.6636503092
18	0.6622169832
19	0.6605777654
20	0.6589509321
21	0.6575068426
22	0.6559559567
23	0.6545558154
24	0.653310266
25	0.6521058461
26	0.6509227012
27	0.6496457046
28	0.6485355024
29	0.6474134072
30	0.6464184979
31	0.6452426376
32	0.6440650351
33	0.6430925986
34	0.6419701654
35	0.6410749395
36	0.6401017287
37	0.639134367
38	0.6381991387
39	0.6373241572
40	0.6363310062
41	0.6355664789
42	0.6347051504
43	0.6337492571
44	0.6330324101
45	0.6321970769
46	0.6312868608
47	0.6305750363
48	0.6297907564
49	0.6290842064
50	0.628441572
51	0.6276056389
52	0.6269332368
53	0.6262930089
54	0.6257150601
55	0.6249876053
56	0.6241590691
57	0.6235265447
58	0.6228989501
59	0.6222652697
60	0.6217332487
61	0.6211908574
62	0.6206361952
63	0.62001642
64	0.6194485507
65	0.6189381117
66	0.6182305988
67	0.6177127851
68	0.6171730507
69	0.6165452124
70	0.6159317441
71	0.6154220226
72	0.6147779679
73	0.6142361421
74	0.613668026
75	0.6131091991
76	0.6126677499
77	0.6121993021
78	0.6116840472
79	0.6112437931
80	0.6106885751
81	0.6100681289
82	0.6096501034
83	0.6092322936
84	0.6088170652
85	0.6084052612
86	0.6080295703
87	0.607574438
88	0.6071376883
89	0.6068300285
90	0.6064110676
91	0.6059586778
92	0.6053950656
93	0.6050140996
94	0.6045899418
95	0.6042045172
96	0.6038137813
97	0.6034232713
98	0.6030301842
99	0.6026501391
100	0.6022075935
101	0.6017222563
102	0.6012967326
103	0.6007847967
104	0.6002812604
105	0.5997415309
106	0.5992362547
107	0.598813517
108	0.5983857042
109	0.5978840118
110	0.5975227566
111	0.5970652539
112	0.5966220759
113	0.5962570804
114	0.5959051715
115	0.595495022
116	0.5951643993
117	0.5947847062
118	0.5943759282
119	0.5939561987
120	0.5935501277
121	0.5931852382
122	0.592778408
123	0.5923407825
124	0.5918825438
125	0.5915021073
126	0.5911467769
127	0.5906645127
128	0.590158369
129	0.5897970347
130	0.5894219915
131	0.5889479544
132	0.5885444125
133	0.5881471789
134	0.5877306177
135	0.5873487715
136	0.5869955413
137	0.5865635785
138	0.5861433127
139	0.5856966527
140	0.5852739458
141	0.5848828228
142	0.584483916
143	0.584124679
144	0.583752093
145	0.5833707108
146	0.583009161
147	0.5826555937
148	0.5823596447
149	0.581982744
150	0.581672968
151	0.5813005505
152	0.5810148474
153	0.5806429481
154	0.5802664622
155	0.5798695277
156	0.5795133218
157	0.5792218212
158	0.5788763619
159	0.5785084393
160	0.5780974255
161	0.5778102614
162	0.5775314998
163	0.5771677336
164	0.5768171319
165	0.5764699139
166	0.5761767196
167	0.5758505231
